orth,base,cat
word,Word,subst
a,a,conj
aa,aa,interj
aarhus,aarhus,ign
abandon,abandon,subst
abandonu,abandon,subst
abiotyczne,abiotyczny,adj
abiotycznymi,abiotyczny,adj
abolicję,abolicja,subst
abonamentowa,abonamentowy,adj
abonamentowej,abonamentowy,adj
abonamentowych,abonamentowy,adj
abonamentową,abonamentowy,adj
abonamentu,abonament,subst
abonent,abonent,subst
abonenta,abonent,subst
abonentowi,abonent,subst
abonentów,abonent,subst
abortus,abortus,ign
absolutorium,absolutorium,subst
absolwenci,absolwent,subst
absolwencie,absolwent,subst
absolwenckiej,absolwencki,adj
absolwent,absolwent,subst
absolwenta,absolwent,subst
absolwentami,absolwent,subst
absolwentem,absolwent,subst
absolwentom,absolwent,subst
absolwentowi,absolwent,subst
absolwentów,absolwent,subst
abstrakcyjną,abstrakcyjny,adj
abw,abw,ign
aby,aby,comp
ac,AC,subst
acariosis,acariosis,ign
acetanilid,acetanilid,subst
acetoksy,acetoksy,ign
acetorfina,acetorfina,ign
acetylenowe,acetylenowy,adj
acetylo,acetylo,ign
acetylodihydrokodeinon,acetylodihydrokodeinon,ign
acetylometadol,acetylometadol,ign
ach,ach,interj
acyjne,acyjne,ign
aczają,aczają,ign
ad,Ada,subst
adama,Adam,subst
adaptacja,adaptacja,subst
adaptacje,adaptacja,subst
adaptacji,adaptacja,subst
adaptacją,adaptacja,subst
adaptację,adaptacja,subst
adaptacyjnego,adaptacyjny,adj
adaptacyjno,adaptacyjno,ign
adaptacyjnoopiekuńcze,adaptacyjnoopiekuńczy,adj
adaptacyjny,adaptacyjny,adj
adaptacyjnych,adaptacyjny,adj
adekwatnego,adekwatny,adj
adekwatności,adekwatność,subst
adekwatność,adekwatność,subst
adekwatnych,adekwatny,adj
adenomatosis,adenomatosis,ign
adiacenckich,adiacencki,adj
adiacenckiej,adiacencki,adj
adiacencką,adiacencki,adj
adiunkci,adiunkt,subst
adiunkt,adiunkt,subst
admi,admi,ign
admiministracji,admiministracji,ign
adminis,adminis,ign
administracja,administracja,subst
administracjami,administracja,subst
administracji,administracja,subst
administracją,administracja,subst
administrację,administracja,subst
administracyjna,administracyjny,adj
administracyjne,administracyjny,adj
administracyjnego,administracyjny,adj
administracyjnej,administracyjny,adj
administracyjnemu,administracyjny,adj
administracyjni,administracyjny,adj
administracyjno,administracyjno,ign
administracyjnoporządkowe,administracyjnoporządkowy,adj
administracyjnoporządkowych,administracyjnoporządkowy,adj
administracyjny,administracyjny,adj
administracyjnych,administracyjny,adj
administracyjnym,administracyjny,adj
administracyjnymi,administracyjny,adj
administracyjną,administracyjny,adj
administrator,administrator,subst
administratora,administrator,subst
administratorami,administrator,subst
administratorem,administrator,subst
administratorowi,administrator,subst
administratorze,administrator,subst
administratorzy,administrator,subst
administratorów,administrator,subst
administrcację,administrcację,ign
administrowane,administrować,ppas
administrowanej,administrować,ppas
administrowania,administrować,ger
administrowanie,administrować,ger
administrowaniem,administrować,ger
administrowaniu,administrować,ger
administrowany,administrować,ppas
administrowanych,administrować,ppas
administrowanym,administrować,ppas
administruje,administrować,fin
administrującego,administrować,pact
administrującemu,administrować,pact
administrujący,administrować,pact
administrujących,administrować,pact
administrującym,administrować,pact
admirał,admirał,subst
admirała,admirał,subst
admirałów,admirał,subst
adn,ADN,subst
adnotacje,adnotacja,subst
adnotacji,adnotacja,subst
adnotacją,adnotacja,subst
adnotację,adnotacja,subst
adopcji,adopcja,subst
adopcyjnej,adopcyjny,adj
adopcyjno,adopcyjno,ign
adopcyjnoopiekuńcze,adopcyjnoopiekuńczy,adj
adopcyjnoopiekuńczego,adopcyjnoopiekuńczy,adj
adopcyjnoopiekuńczych,adopcyjnoopiekuńczy,adj
