word,freq
ABW,15
AC,1
ACETORFINA,1
ACETYLOMETADOL,1
AD,2
ADMINISTRACJI,1
ADMINISTRACYJNY,1
ADN,12
ADR,5
ADWENTYSTÓW,1
AETR,9
AIDS,3
AKCYZOWYCH,3
AKCYZY,2
ALFAACETYLOMETADOL,1
ALFAMEPRODYNA,1
ALFAMETADOL,1
ALFAPRODYNA,1
ALFENTANYL,1
ALLILOPRODYNA,1
AMORTYZACYJNYCH,5
ANILERYDYNA,1
ANKIETA,2
AR,1
ARGYREIA,1
ARR,2
ART,5
ASI,1
ASTM,1
ATA,1
ATC,1
ATCvet,1
ATP,5
ATS,1
AW,3
AZBEST,2
AZBESTOLIT,1
Aarhus,1
Abandon,1
Abonent,2
Abonentowi,2
Abortus,2
Absolwenci,6
Absolwent,6
Absolwentom,1
Absolwentowi,2
Absolwentów,1
Aby,1
Acariosis,1
Acetylo,1
Adama,6
Adaptacyjnego,1
Administracja,10
Administracji,404
Administrację,7
Administracyjna,1
Administracyjne,4
Administracyjnego,142
Administracyjnej,2
Administracyjnemu,6
Administracyjny,21
Administracyjnym,52
Administracyjną,6
Administrator,24
Administratora,7
Administratorem,3
Administratorowi,3
Administratorzy,2
Administrowanie,2
Adnotacje,1
Adnotacji,1
Adnotację,4
Adres,2
Adresy,1
Adventisten,1
Advogado,1
Adwentystów,14
Adwokaci,4
Adwokacka,4
Adwokackiej,13
Adwokat,17
Adwokata,1
Aethina,1
Afganistanie,1
African,4
Agape,2
Agaricus,3
Agave,5
Agencja,233
Agencje,3
Agencji,1103
Agencją,52
Agencję,166
Agent,11
Agenta,1
Agentem,2
Aglomeracja,1
Aglomeracje,1
Agrarwirtschaft,1
Agricoltura,1
Agricultura,2
Agriculture,1
Agrochemiczna,1
Akademia,30
Akademicka,1
Akademickich,1
Akademii,184
Akademią,11
Akademię,13
Akceptacja,1
Akcesyjnego,2
Akcesyjny,1
Akcie,1
Akcja,2
Akcje,61
Akcjonariusz,18
Akcjonariuszami,3
Akcjonariusze,15
Akcjonariuszom,3
Akcjonariuszowi,4
Akcjonariuszy,1
Akcję,1
Akcyjna,47
Akcyjnej,6
Akcyjną,3
Akcyza,1
Akcyzie,1
Akredytacja,4
Akredytacji,45
Akredytację,7
Akredytacyjna,3
Akredytacyjnej,8
Akredytacyjną,4
Akredytowana,1
Akredytowane,5
Akredytowanym,1
Akrotiri,1
Akt,39
Akta,25
Aktu,2
Aktualizacja,22
Aktualizacji,1
Aktualne,30
Aktualny,15
Aktuariusz,1
Aktuariuszem,1
Aktuariuszy,6
Akty,42
Aktywa,37
Aktywami,1
Aktywizacja,2
Aktywność,1
Aktywowane,1
Akumulatory,4
Alabastry,1
Albumy,1
Aleksander,1
Aleksandra,2
Aleksandrów,1
Aleucka,1
Aleution,1
Algorytm,4
Alimentacyjnego,4
Alkohol,8
Alkohole,1
Alkoholowych,7
Alkoholu,1
Amaryllidaceae,2
Amatorski,1
Ambasador,3
Ambasadora,1
Ambasadorowi,1
Ambasadorowie,1
Ambulatoryjne,1
American,2
Ameryki,6
Amfibolity,1
Amortyzacja,10
Amortyzacji,14
Analiza,1
Analizy,6
Analizę,1
Analysis,1
Ananasy,1
Anas,1
Anastasis,1
Andory,2
Aneksie,5
Angielskiego,1
Anhydryty,1
Ankietę,1
Anser,1
Antarktyce,1
Anthrax,2
Antykorozyjne,1
Antykorupcyjne,7
Antykorupcyjnego,27
Antykorupcyjnemu,5
Antykorupcyjnym,6
Antymonopolowego,9
Antymonopolowemu,4
Antymonopolowy,19
Antymonopolowym,4
Aparatem,2
Aparatura,2
Aparaty,26
Apelacja,8
Apelację,9
Apelacyjnego,14
Apelacyjnemu,3
Apelacyjny,4
Apelacyjnych,1
Apelacyjnym,1
Aplikacja,24
Aplikację,5
Aplikanci,4
Aplikant,11
Aplikanta,8
Aplikantem,6
Aplikantom,1
Aplikantowi,2
Apostille,1
Apostolską,2
Apreturowanie,1
Apteka,17
Aptekarska,1
Aptekarskiej,38
Aptekarską,2
Aptekarz,1
Apteki,7
Arabskiego,1
Arbiter,7
Arbitra,1
Arbitrażowy,1
Arbitrem,1
Arbitrowi,1
Arbitrzy,1
Archidiecezji,1
Architekt,6
Architektów,3
Archiwa,2
Archiwizacji,3
Archiwum,5
Archiwów,13
Areszt,2
Aresztem,1
Aresztowanie,2
Aresztowanych,1
Areszty,2
Arizone,1
Arka,2
Arktyce,1
Arkusze,1
Armator,28
Armatorem,1
Armatorowi,2
Armatorzy,4
Armenii,3
Armii,1
Art,30838
Artykuł,5
Artykułu,6
Artykuły,5
Artykułów,84
Artysta,1
Artystycznymi,1
Artyście,2
Asesor,6
Asesora,2
Asesorem,1
Asesorowi,1
Asesorzy,6
Asesorów,1
Aspektów,2
Aspirantem,1
Asystenci,1
Asystent,2
Asystentowi,1
Atenach,3
Atesty,1
Atlantyku,2
Atomistyki,24
Atomowej,3
Au,1
Audycje,6
Audycją,1
Audycję,3
Audyt,10
Audytem,1
Audytor,2
Audytorem,1
Audytu,16
Augsburskiego,6
Aujeszky,3
Aujeszkyego,1
Aukcja,3
Auschwitz,3
Australijski,1
Australią,2
Austria,1
Austriacka,1
Austrii,15
Autobus,1
Autobusy,4
Autokefalicznego,7
Autoklawy,4
Automaty,1
Automatyczna,2
Autostrad,24
Autostrada,1
Autostradowego,3
Autostradowy,2
Autostradowym,1
Avian,5
Avocat,2
Awans,1
Awaria,1
Awarię,1
Awokado,1
Azbest,1
Azbestowo,10
Azbestowych,6
Azerbejdżańskiej,3
Azo,5
Azot,204
Azotan,23
Azotu,3
Azyl,1
Aдвокат,1
BANISTERIOPSIS,1
BANKI,1
BAT,28
BEF,1
BEMA,1
BENZETYDYNA,1
BENZYLOMORFINA,1
BETACETYLOMETADOL,1
BETAMEPRODYNA,1
BETAMETADOL,1
BETAPRODYNA,1
BEZPIECZEŃSTWA,5
BEZPIECZEŃSTWO,1
BEZYTRAMID,1
BGK,52
BGŻ,60
BIAŁA,3
BIAŁYSTOK,3
BIELSKO,3
BIERNATKI,1
BILANS,3
BO,10
BOR,189
BORÓWIEC,1
BR,2
BROLAMFETAMINA,1
BSE,2
BSWP,66
BSWSG,70
BUDŻETOWA,6
BUSINESSEUROPE,2
BYDGOSZCZ,3
BYTOM,1
BYĆ,1
BZ,5
Babin,1
Bacewiczów,1
Bacillus,1
Badania,90
Badaniami,2
Badanie,31
Badaniom,3
Badaniu,10
Badawczej,11
Badawczo,4
Badawczy,7
Badawczych,2
Badań,82
Bagrowo,1
Bakłażany,1
Balice,1
Balony,4
Bandera,1
Bangkoku,2
Banjo,1
Bank,393
Banki,75
Bankiem,33
Bankom,2
Bankowania,19
Bankowego,177
Bankowemu,5
Bankowi,40
Bankowy,14
Bankowych,3
Bankowym,26
Bankową,3
Banku,385
Banków,9
Baptystów,7
Barlinek,1
Barratta,1
Barrgo,1
Barrégo,1
Barwienie,5
Barytu,1
Baryty,1
Baryłki,1
Baszni,1
Basznia,1
Baterie,8
Bator,2
Bawełna,2
Bay,2
Bazalty,1
Bazy,4
Bazę,1
Bałtycki,1
Bałtyckiego,9
Bałtyckim,4
Bażanówka,1
Beczki,2
Belgia,1
Belgii,10
Belgradzie,2
Beliny,3
Benzen,1
Benzol,1
Benzyny,1
Berlinie,6
Betania,3
Betel,14
Betezda,5
Betlejem,4
Bez,20
Bezledach,2
Bezpieczeństwa,103
Bezpieczeństwem,4
Bezpieczeństwo,4
Bezpieczne,3
Bezpieczny,4
Bezpośredni,7
Bezpośrednia,1
Bezpośrednio,8
Bezpłatne,9
Bezpłatny,1
Bezrobotnemu,20
Bezrobotni,6
Bezrobotny,16
Bezrobotnych,1
Bezrobotnym,7
Bezskuteczny,2
Bezstronność,2
Bezwzględna,5
Bełchatów,1
Bełżcu,2
Biała,8
Białej,13
Białogard,1
Białopole,1
Białorusi,2
Białoruską,1
Białostockiej,2
Białowieża,1
Biały,1
Białymstoku,3
Białystok,2
Białą,1
Biblijne,1
Bibliotece,4
Biblioteczna,2
Biblioteka,16
Bibliotekami,2
Biblioteki,30
Biblioteką,1
Bieg,48
Bieganowo,1
Biegli,10
Biegłego,5
Biegłemu,3
Biegły,24
Biegłych,67
Biegłym,5
Bielizna,13
Bielsk,1
Bielsko,6
Bielsku,13
BielskuBiałej,2
Bierne,2
Bieżnikowanie,1
Bieżąca,1
Bieżące,3
Bilans,14
Bilansowa,7
Bilet,1
Biobójczych,55
Biokomponentami,1
Biologica,1
Biologii,2
Biologique,1
Biologische,2
Biológica,1
Biopaliw,1
Biorą,1
Biorący,6
Birkenau,3
Bischoefliche,1
Bischofliche,1
Biskup,3
Biskupa,1
Biskupem,1
Biskupiec,1
Biskupiego,1
Bison,1
Bitum,1
Biuletyn,4
Biuletynem,2
Biuletynie,166
Biuletynu,51
Biur,1
Biura,416
Biurem,28
Biuro,112
Biuru,20
Biurze,95
Biustonosze,3
Biżuteria,4
Blokada,3
Bloki,2
Bluetongue,2
Bochni,1
Bochnia,3
Boguszów,3
Bohumina,2
Bolesław,1
Bolesławiec,1
Bolko,1
Bon,2
Bonifikaty,1
Bonn,2
Bony,1
Bor,8
Boran,6
Bordetella,1
Boroetanol,1
Borrelia,1
Boryjskie,1
Boryszew,2
Bovine,7
Bożej,1
Boży,1
Bożych,1
Braille,3
Brak,22
Braniu,2
Branżowe,4
Branżowego,6
Branżowym,4
Broczyna,2
Brokerów,4
Bromochlorodifluorometan,1
Bromodifluoroetan,1
Bromodifluorometan,1
Bromodifluoropropan,1
Bromofluoroetan,1
Bromofluorometan,1
Bromofluoropropan,1
Bromoheksafluoropropan,1
Bromometan,1
Bromopentafluoropropan,1
Bromotetrafluoroetan,1
Bromotetrafluoropropan,1
Bromotrifluoroetan,1
Bromotrifluorometan,1
Bromotrifluoropropan,1
Broni,4
Bronisław,41
Broń,6
Brukseli,29
Brunatnego,1
Brutto,1
Brwinowie,1
Brylińce,1
Brytanii,9
Brytyjskich,4
Brzeg,1
Brzeżawa,1
Brzoskwinie,1
Brązowy,3
Bubalus,2
Budowa,13
Budowlanego,48
Budowlanej,7
Budowlany,1
Budowlanych,2
Budowle,13
Budownictwa,65
Budownictwo,2
Budowy,19
Budowę,3
Budynkami,1
Budynki,14
Budżet,22
Budżetu,1
Buesingen,1
Bukareszcie,2
Bukowno,1
Bukowo,1
Bunduszu,1
Burley,1
Burmistrzowie,3
Busko,1
Butelka,1
Butelki,2
Bułgarii,12
Bydgoska,2
Bydgoszcz,5
Bydgoszczy,7
Bydło,4
Byli,1
Bystrzyca,1
Bytom,4
Bytomiu,2
Bytów,1
Byłego,2
Byłemu,7
Były,7
Bóg,24
BĘDĄ,1
BĘDĄCYCH,1
Będzie,1
Będzin,1
Błonie,1
Błońska,3
Błędy,4
CAAPI,1
CAERULEA,1
CALEA,1
CATHA,1
CBA,11
CBŚP,34
CE,19
CEE,4
CEEP,2
CEIDG,1
CELNE,2
CELNY,3
CELNYCH,2
CFC,21
CFE,1
CHARAKTERYSTYKA,1
CHEŁM,2
CHORZÓW,1
CHRZANÓW,1
CIESZYN,1
CIRR,4
CN,83
COBRPIB,3
CORYMBOSA,1
CP,4
CPC,2
CW,2
CZAS,1
CZYNNOŚCI,2
CZĘSTOCHOWA,3
CZĘŚĆ,7
CZŁONKÓW,2
Ca,4
CaO,15
Cairina,1
Campione,1
Campylobacter,1
Cannabis,3
Caprine,2
Carrageenon,1
Cała,3
Całej,2
Całkowicie,1
Całkowita,4
Całkowite,4
Całkowitego,1
Całkowity,4
Całodobowy,1
Cebula,1
Cechy,3
Cedler,1
Cedzidła,2
Cegłów,1
Cel,2
Celami,3
Cele,5
Celem,46
Celna,8
Celnego,24
Celnej,159
Celnemu,2
Celno,4
Celny,36
Celnych,6
Celnym,1
Celną,10
Celów,1
Cementowo,1
Cementowych,10
Cementu,1
Cena,35
Cennik,1
Centra,2
Central,1
Centrala,1
Centrali,4
Centralna,21
Centralne,8
Centralnego,98
Centralnej,67
Centralnemu,10
Centralny,63
Centralnym,54
Centralną,22
Centralą,1
Centralę,2
Centrum,430
Ceny,14
Ceną,3
Cenę,14
Cepelia,1
Ceramiki,1
Ceratonia,1
Cerkiewne,1
Cerowanie,1
Certificat,1
Certyfikacji,17
Certyfikację,1
Certyfikat,44
Certyfikatu,1
Certyfikaty,7
Ceutę,1
Cezary,2
Ceł,141
ChZT,1
Chacruna,1
Chalcedonity,1
Challenge,1
Championa,1
Charakter,1
Charakterystyce,15
Charakterystyk,4
Charakterystyka,7
Charakterystykach,1
Charakterystyki,17
Charakterystyką,17
Charakterystykę,18
Charytatywna,3
Charyzma,1
Chałupek,2
Chelat,5
Chemiczne,5
Chemicznej,1
Chemiczno,6
Chemicznych,10
Chemikaliów,1
Chełm,4
Chełmnie,2
Chicago,2
Chińskiej,1
Chlamydia,1
Chleb,1
Chlor,1
Chlorek,6
