index,base
numer,4382
dziennik,1597
ustawa,1313
artykuł,1107
kodeks,458
policja,425
minister,405
Rzeczpospolita polski,393
skarb państwo,315
prawo,312
kasa chory,276
polski,274
rada minister,272
straż graniczny,235
unia europejski,228
zakład,223
rada,214
fundusz,192
sprawiedliwość,179
państwowy straż pożarny,169
I,167
państwo,166
prezes,165
urząd,164
prezes urząd,160
U,159
pozostały,146
obrona narodowy,143
tkanina,141
azot,140
państwowy komisja wyborczy,132
urząd patentowy,132
zmiana,132
Rzeczpospolita,125
komendant,123
finanse,121
nawóz,120
komisja,118
minister sprawiedliwość,114
minister obrona narodowy,112
urząd ochrona państwo,108
P2O5,107
biuro,104
minister finanse,100
administracja,98
sejm,95
damski,93
wolny handel,91
komisja wyborczy,90
prezes rada minister,88
