base,freq
AC:subst,1
ADN:subst,12
ATP:subst,5
Ada:subst,2
Adam:subst,6
Afganistan:subst,1
Aleksander:subst,4
Anda:subst,8
Andora:subst,2
Ania:subst,5
Antarktyka:subst,1
Ante:subst,1
Arktyka:subst,1
Armenia:subst,3
Asia:subst,1
Atena:subst,3
Atlantyk:subst,2
Aujeszky:subst,4
Auschwitz:subst,3
Australia:subst,2
Austria:subst,16
Aza:subst,9
BGK:subst,52
BGŻ:subst,60
BR:subst,2
BSE:subst,2
Bangkok:subst,2
Bator:subst,2
Belgia:subst,11
Belgrad:subst,2
Belina:subst,3
Bem:subst,1
Betlejem:subst,4
Bełchatów:subst,1
Bełżec:subst,2
Białogard:subst,1
Białoruś:subst,2
Białowieża:subst,1
Białystok:subst,8
Bielsk:subst,1
Birkenau:subst,3
Bochnia:subst,4
Bogusz:subst,3
Bolesław:subst,1
Bolesławiec:subst,1
Bolko:subst,1
Bonn:subst,2
Braille:subst,3
Bronisław:subst,41
Bruksela:subst,29
Brwinów:subst,1
Bukareszt:subst,2
Bukowo:subst,1
Bułgaria:subst,12
Bydgoszcz:subst,15
Bytom:subst,2
Będzin:subst,1
CFC:subst,21
CL:num,9
Cegłów:subst,1
Cepelia:subst,1
Chełm:subst,6
Chełmno:subst,2
Chicago:subst,2
Chopin:subst,19
Chorwacja:subst,4
Chorzów:subst,4
Chrystus:subst,2
Ciechanów:subst,1
Cieszyn:subst,2
Clinton:subst,1
Curie:subst,10
Cypr:subst,1
Czchów:subst,1
Czechowski:subst,3
Częstochowa:subst,11
Człuchów:subst,1
D:num,1655
DC:num,2
DDT:subst,1
DI:num,4
DS:subst,3
Dania:subst,7
Dniestr:subst,1
Dominowo:subst,1
Dora:subst,1
Dow:depr,1
Dow:subst,4
Dublin:subst,4
Dunajec:subst,1
Duszniki:subst,1
Działyński:subst,1
Dzieje_(Apostolskie):brev,8885
Dzierżoniów:subst,1
Dąbie:subst,1
Dębica:subst,1
EBI:subst,2
EEG:subst,3
EFTA:subst,204
EUROPOL:subst,1
EWG:subst,86
Ela:subst,1
Elbląg:subst,8
Elżbieta:subst,2
Estonia:subst,5
Eugeniusz:subst,1
Ewa:subst,46
Ełk:subst,1
FAT:subst,1
Fabrycjusz:subst,2
Filadelfia:subst,2
Finlandia:subst,9
Florian:subst,1
Francja:subst,3
Frombork:subst,1
Fryderyk:subst,19
GATT:subst,2
GM:subst,1
GUS:subst,7
Gagarin:subst,1
Gdańsk:subst,15
Gdynia:subst,21
Genewa:subst,32
Genezaret:subst,1
Gliwice:subst,7
Goleniów:subst,1
Gorce:subst,2
Gorlice:subst,1
Gorzków:subst,1
Gorzów:subst,4
Gozdnica:subst,1
Gołdap:subst,1
Grabarczyk:subst,2
Grażyna:subst,1
Grecja:subst,4
Gross:subst,1
Grudziądz:subst,5
Gruzja:subst,1
Gryfów:subst,3
Grzegorz:subst,5
Gubin:subst,1
Gózd:subst,1
Głubczyce:subst,1
HIV:subst,10
Haga:subst,3
Hajnówka:subst,1
Hamburg:subst,1
Helsinki:subst,3
Hiszpania:subst,12
Holandia:subst,5
Horodło:subst,1
Hrebenne:subst,2
Hugo:subst,10
ISBN:subst,3
ISO:subst,5
ISSN:subst,1
IV:num,252
IX:num,52
Immanuel:subst,1
Inowrocław:subst,2
Interpol:subst,3
Ira:subst,1
Irena:subst,2
Irlandia:subst,13
Islandia:subst,4
Ita:subst,4
Iza:subst,3
Iława:subst,1
JANA:subst,10
Jadwiga:subst,1
Jan:subst,1
Janeiro:burk,1
Janowice:subst,2
Japonia:subst,1
Jarocin:subst,3
Jarosław:subst,2
Jaworzno:subst,4
Jeruzalem:subst,2
Jeziorna:subst,1
Jezus:subst,1
Jork:subst,14
Jugosławia:subst,2
Jurek:subst,29
Jurij:subst,1
Józef:subst,2
Kacha:subst,1
Kaczorowski:subst,1
Katowice:subst,50
Kazachstan:subst,2
Kazimierz:subst,4
Kidawa:subst,3
Kiejstut:subst,1
Kierzkowska:subst,1
Kijów:subst,4
Kioto:subst,9
Klimontów:subst,1
Kluczbork:subst,1
Komorowski:subst,41
Konstancin:subst,1
Konstantyn:subst,2
Kopernik:subst,1
Korea:subst,4
Koszalin:subst,10
Kotarbiński:subst,9
Kozienice:subst,1
Kołłątaj:subst,10
Kościerzyna:subst,1
Krak:subst,49
Kraków:subst,1
Krotoszyn:subst,1
Krzeszowice:subst,1
Księga_Amosa:brev,2
Księga_Barucha:brev,5
Księga_Izajasza:brev,1
Księga_Liczb:brev,1
Księga_Malachiasza:brev,5
Księga_Nehemiasza:brev,3
Księga_Przysłów_(Przypowieści_Salomona):brev,2
Księga_Psalmów:brev,2
Księga_Sofoniasza:brev,1
Kuwejt:subst,1
Kwidzyn:subst,2
Kórnik:subst,11
Kędzierzyn:subst,2
Kętrzyn:subst,1
LP:subst,74
LSD:subst,2
LVII:num,1
LXIV:num,1
LZ:subst,1
Legnica:subst,9
Leszno:subst,5
Libiąż:subst,1
Liechtenstein:subst,5
List_do_Galatów:brev,1
Lizbona:subst,1
Londyn:subst,29
Lubartów:subst,1
Lubawka:subst,4
Lubań:subst,1
Lubin:subst,1
Luiza:subst,1
Luksemburg:subst,16
Lwówek:subst,2
Lębork:subst,2
MB:subst,12
MN:subst,16
MO:subst,14
MW:subst,28
MZ:subst,1
Maciej:subst,1
Malbork:subst,1
Malta:subst,13
Maria:subst,10
Maryja:subst,1
Matejko:subst,5
Małachowski:subst,1
Małgorzata:subst,3
Małkinia:subst,3
Małomice:subst,1
Megahertz:brev,6
Michał:subst,12
Mickiewicz:subst,6
Milicz:subst,1
Międzyrzecz:subst,1
Mińsk:subst,1
Monako:subst,4
Mongolia:subst,4
Montreal:subst,4
Moskwa:subst,5
Moszczenica:subst,1
Mołdawia:subst,2
Mrągowo:subst,1
Mysłowice:subst,3
NBP:subst,214
NFI:subst,1
NIK:subst,1
NIP:subst,117
NKWD:subst,3
Nazaret:subst,1
Niderlandy:subst,7
Niemen:subst,1
Nik:subst,2
Nina:subst,4
Norwegia:subst,4
Nowy_Testament:brev,19
OECD:subst,41
ONZ:subst,1
Odolanów:subst,3
Okęcie:subst,4
Ola:subst,9
Oleśnica:subst,1
Olkusz:subst,1
Olsztyn:subst,40
Ostrowiec:subst,1
Ostróda:subst,1
Ottawa:subst,5
Oświęcim:subst,8
PESEL:subst,244
PH:subst,3
PK:subst,13
PKB:subst,12
PKD:subst,21
PKP:subst,272
PN:subst,4
PRS:subst,31
PTE:subst,1
Pabianice:subst,3
Parczew:subst,1
Paryż:subst,14
Pesach:subst,1
Piaseczno:subst,1
Piekary:subst,2
Pilchowice:subst,3
Piotrek:subst,7
Pisa:subst,2
Piątnica:subst,1
Piłsudski:subst,2
Plata:subst,3
Poczta_Polska:brev,5
Pol:subst,4
Polkowice:subst,1
Polonia:subst,7
Polska:subst,152
Portland:subst,1
Portugalia:subst,5
Porąbka:subst,1
Pot:subst,1
Praga:subst,1
Prudnik:subst,1
Pruszków:subst,5
Pułaski:subst,2
Puławy:subst,4
Pyrzyce:subst,1
PŁ:subst,2
Płock:subst,6
Płońsk:subst,1
Q:subst,17
REGON:subst,95
RP:subst,6
Racibórz:subst,1
Radom:subst,2
Radosław:subst,14
Radziszewska:subst,2
Rega:subst,1
Rio:burk,1
Rodos:subst,2
Rogoźnica:subst,2
Rotterdam:subst,1
Rozwadów:subst,1
Rumunia:subst,11
Ryszard:subst,1
Rzeszów:subst,39
Rzym:subst,8
SA:subst,266
SG:subst,1
SP:subst,12
SPP:subst,1
SW:subst,5
Salmon:subst,1
Samaria:subst,1
Sandomierz:subst,2
Sanniki:subst,1
Sanok:subst,1
Sara:subst,44
Saturn:subst,1
Schengen:subst,1
Seattle:subst,2
Seul:subst,4
Siarkopol:subst,2
Siedlce:subst,8
Siemianowice:subst,3
Sieradz:subst,3
Sikorski:subst,14
Skierniewice:subst,2
Skoczów:subst,1
Skłodowska:subst,10
Sobibór:subst,2
Sochaczew:subst,1
Sofia:subst,2
Sokółka:subst,2
Sopot:subst,3
Stambuł:subst,1
Starachowice:subst,1
Stargard:subst,2
Stary_Testament:brev,19
Stefan:subst,2
Strasburg:subst,12
Strzegom:subst,1
Stutthof:subst,2
Sulechów:subst,1
Suwałki:subst,1
Szawuot:subst,1
Szczytno:subst,2
Sztutowo:subst,2
Szwecja:subst,8
Słowacja:subst,2
Słowenia:subst,13
Słupsk:subst,5
Tadeusz:subst,10
Tadżykistan:subst,1
Tajlandia:subst,2
