orth,base,ctag
word,Word,subst:sg:nom:m2
a,a,conj
aa,aa,interj
aarhus,aarhus,ign
abandon,abandon,subst:sg:nom:m3
abandonu,abandon,subst:sg:gen:m3
abiotyczne,abiotyczny,adj:sg:nom:n:pos
abiotycznymi,abiotyczny,adj:pl:inst:m1:pos
abolicję,abolicja,subst:sg:acc:f
abonamentowa,abonamentowy,adj:sg:nom:f:pos
abonamentowej,abonamentowy,adj:sg:gen:f:pos
abonamentowych,abonamentowy,adj:pl:gen:m1:pos
abonamentową,abonamentowy,adj:sg:acc:f:pos
abonamentu,abonament,subst:sg:gen:m3
abonent,abonent,subst:sg:nom:m1
abonenta,abonent,subst:sg:gen:m1
abonentowi,abonent,subst:sg:dat:m1
abonentów,abonent,subst:pl:gen:m1
abortus,abortus,ign
absolutorium,absolutorium,subst:sg:nom:n
absolwenci,absolwent,subst:pl:nom:m1
absolwencie,absolwent,subst:sg:loc:m1
absolwenckiej,absolwencki,adj:sg:gen:f:pos
absolwent,absolwent,subst:sg:nom:m1
absolwenta,absolwent,subst:sg:gen:m1
absolwentami,absolwent,subst:pl:inst:m1
absolwentem,absolwent,subst:sg:inst:m1
absolwentom,absolwent,subst:pl:dat:m1
absolwentowi,absolwent,subst:sg:dat:m1
absolwentów,absolwent,subst:pl:gen:m1
abstrakcyjną,abstrakcyjny,adj:sg:acc:f:pos
abw,abw,ign
aby,aby,comp
ac,AC,subst:sg:nom:n
acariosis,acariosis,ign
acetanilid,acetanilid,subst:sg:nom:m3
acetoksy,acetoksy,ign
acetorfina,acetorfina,ign
acetylenowe,acetylenowy,adj:sg:nom:n:pos
acetylo,acetylo,ign
acetylodihydrokodeinon,acetylodihydrokodeinon,ign
acetylometadol,acetylometadol,ign
ach,ach,interj
acyjne,acyjne,ign
aczają,aczają,ign
ad,Ada,subst:pl:gen:f
adama,Adam,subst:sg:gen:m1
adaptacja,adaptacja,subst:sg:nom:f
adaptacje,adaptacja,subst:pl:nom:f
adaptacji,adaptacja,subst:sg:gen:f
adaptacją,adaptacja,subst:sg:inst:f
adaptację,adaptacja,subst:sg:acc:f
adaptacyjnego,adaptacyjny,adj:sg:gen:m1:pos
adaptacyjno,adaptacyjno,ign
adaptacyjnoopiekuńcze,adaptacyjnoopiekuńczy,adj:sg:nom:n:pos
adaptacyjny,adaptacyjny,adj:sg:nom:m1:pos
adaptacyjnych,adaptacyjny,adj:pl:gen:m1:pos
adekwatnego,adekwatny,adj:sg:gen:m1:pos
adekwatności,adekwatność,subst:sg:gen:f
adekwatność,adekwatność,subst:sg:nom:f
adekwatnych,adekwatny,adj:pl:gen:m1:pos
adenomatosis,adenomatosis,ign
adiacenckich,adiacencki,adj:pl:gen:m1:pos
adiacenckiej,adiacencki,adj:sg:gen:f:pos
adiacencką,adiacencki,adj:sg:acc:f:pos
adiunkci,adiunkt,subst:pl:nom:m1
adiunkt,adiunkt,subst:sg:nom:m1
admi,admi,ign
admiministracji,admiministracji,ign
adminis,adminis,ign
administracja,administracja,subst:sg:nom:f
administracjami,administracja,subst:pl:inst:f
administracji,administracja,subst:sg:gen:f
administracją,administracja,subst:sg:inst:f
administrację,administracja,subst:sg:acc:f
administracyjna,administracyjny,adj:sg:nom:f:pos
administracyjne,administracyjny,adj:sg:nom:n:pos
administracyjnego,administracyjny,adj:sg:gen:m1:pos
administracyjnej,administracyjny,adj:sg:gen:f:pos
administracyjnemu,administracyjny,adj:sg:dat:m1:pos
administracyjni,administracyjny,adj:pl:nom:m1:pos
administracyjno,administracyjno,ign
administracyjnoporządkowe,administracyjnoporządkowy,adj:sg:nom:n:pos
administracyjnoporządkowych,administracyjnoporządkowy,adj:pl:gen:m1:pos
administracyjny,administracyjny,adj:sg:nom:m1:pos
administracyjnych,administracyjny,adj:pl:gen:m1:pos
administracyjnym,administracyjny,adj:sg:inst:m1:pos
administracyjnymi,administracyjny,adj:pl:inst:m1:pos
administracyjną,administracyjny,adj:sg:acc:f:pos
administrator,administrator,subst:sg:nom:m1
administratora,administrator,subst:sg:gen:m1
administratorami,administrator,subst:pl:inst:m1
administratorem,administrator,subst:sg:inst:m1
administratorowi,administrator,subst:sg:dat:m1
administratorze,administrator,subst:sg:loc:m1
administratorzy,administrator,subst:pl:nom:m1
administratorów,administrator,subst:pl:gen:m1
